artist,album,song,time,feat,type,tempo,arc,inst1,inst2,inst3,tag1,tag2,tag3,kw1,kw2,kw3,style1,style2,style3,genre1,genre2,genre3,
Adam Selzer,,Birds,0:32,,instr,1,Steady,Mallets,Strings,,Hopeful,Imaginative,Light,Folk,Harmonic,Melodic,Childrens,Holiday,Trailer,Folk & Americana,Cinematic,Holiday,
Adam Selzer,,Calvin,0:34,Featured,instr,2,Steady,Electric Piano,Drums,Backing Vocals,Calm,Human,Minimal,Harmonic,Reflective,Soulful,Trailer,Romantic Comedy,Documentary,Folk & Americana,Indie Pop,Slowjams,
Adam Selzer,,Circles,0:32,,instr,3,Steady,Synthesizer,Drum Machine,,Bouncy,Fun,Bouncy,Playful,Happy,,Comedy,Childrens,Science Fiction,Electronic,Nerdcore,Pop,
Adam Selzer,,Clouds,0:30,Featured,instr,2,Ascending,Electric Piano,Mallets,Strings,Emotional,Hopeful,Light,Melodic,Positive,Uplifting,Wedding,Trailer,Indie,Cinematic,Indie Pop,Holiday,
Adam Selzer,,Cocktail Hour,0:34,,instr,3,Steady,Percussion,Electric Piano,Horns,Fun,Light,Mischievous,Playful,Rhythmic,,Comedy,Documentary,Narrative,Pop,World,"Blues, Roots & Jazz",
Adam Selzer,,Dune,0:36,,instr,1,Ascending,Acoustic Guitar,Piano,Bass,Angelic,Emotional,Optimistic,Harmonic,Melodic,Vulnerable,Crowdfunding,Wedding,Trailer,Cinematic,Minimal,,
Adam Selzer,,Elephant,1:07,,instr,4,Ascending,Strings,Electric Piano,Percussion,Emotional,Empowering,Hopeful,Inspiring,Melodic,Uplifting,Business,Crowdfunding,Trailer,Cinematic,Orchestral,,
Adam Selzer,,Farm,0:31,,instr,3,Steady,Acoustic Guitar,Electric Piano,Chimes & Bells,Bouncy,Empowering,Fun,Happy,Light,Melodic,Business,Crowdfunding,Explainer,Folk & Americana,Indie Pop,Holiday,
Adam Selzer,,Front Porch,1:03,Featured,instr,2,Ascending,Acoustic Guitar,Piano,Strings,Dynamic,Emotional,Empowering,Melodic,Powerful,Reflective,Business,Makers & Creators,Trailer,Cinematic,Folk & Americana,Orchestral,
Adam Selzer,,Ghost Waltz,0:50,,instr,2,Ascending,Organ,Chimes & Bells,Piano,Quirky,Sinister,Sombre,Sparse,Whimsical,,Indie,Narrative,Road Trip,Folk & Americana,Cinematic,"Blues, Roots & Jazz",
Adam Selzer,,Greatness,1:01,,instr,4,Ascending,Synthesizer,Drums,Woodwinds,Emotional,Quirky,Sentimental,Stirring,,,Indie,Political,,Electronic,Experimental,Orchestral,
Adam Selzer,,Happy Times,0:31,,instr,3,Steady,Acoustic Guitar,Piano,Mallets,Fun,Human,Light,Melodic,Minimal,Reflective,Indie,Explainer,Business,Folk & Americana,Cinematic,,
Adam Selzer,,Lifting Off Slowly,1:10,Featured,instr,2,Ascending,Strings,Piano,,Burdened,Emotional,Empowering,Harmonic,Inspiring,Melodic,Trailer,LookBook Video,Documentary,Orchestral,Cinematic,,
Adam Selzer,,Loves Me,0:36,,instr,2,Ascending,Piano,Mallets,Chimes & Bells,Fun,Human,Light,Melodic,Minimal,Reflective,Indie,Documentary,Drama,Orchestral,Cinematic,,
Adam Selzer,,Navy Blue,0:31,,instr,3,Steady,Bass,Drums,,Confident,Stoic,Bouncy,Fun,Light,,Business,Indie,Road Trip,Indie Pop,Pop,,
Adam Selzer,,New Old West,0:17,,instr,3,Steady,Bass,Electric Guitar,,Confident,Stoic,Mischievous,,,,Business,Western,Action,Folk & Americana,Rock & Roll,,
Adam Selzer,,Opening Up,1:03,Featured,instr,2,Ascending,Acoustic Guitar,Organ,Drums,Empowering,Emotional,Positive,Uplifting,Bright,Melodic,Business,Documentary,Drama,Orchestral,Cinematic,,
Adam Selzer,,Pluck and Bounce,0:31,,instr,3,Ascending,Acoustic Guitar,Mallets,Drums,Fun,Bright,Positive,Uplifting,Bright,Melodic,Business,Case Study,Crowdfunding,Orchestral,Cinematic,Indie Pop,
Adam Selzer,,Quiet March,0:35,,instr,2,Ascending,Acoustic Guitar,Acoustic Guitar,Drums,Fun,Bright,Positive,Uplifting,Bright,Melodic,Business,Documentary,Drama,Orchestral,Cinematic,,
Adam Selzer,,Raindrops,1:03,,instr,2,Steady,Bass,Horns,,Classic,Reflective,Sparse,Melodic,Sentimental,Classic,Holiday,Comedy,Indie,Indie Pop,Cinematic,Holiday,
Adam Selzer,,Revved Up,0:30,,instr,3,Steady,Bass,Electric Guitar,Drums,Mischievous,Bouncy,Upbeat,Confident,Fun,,Road Trip,Sports,,Indie Pop,Rock & Roll,,
Adam Selzer,,Ripple,0:33,,instr,3,Steady,Mallets,Woodwinds,,Optimistic,Bright,Positive,Uplifting,Bright,Melodic,Business,Makers & Creators,,Indie Pop,Cinematic,,
Adam Selzer,,Strings And Blips,1:12,,instr,3,Steady,Synthesizer,Strings,Synthesizer,Optimistic,Bright,Positive,Uplifting,Bright,Melodic,Business,Crowdfunding,Narrative,Indie Pop,Orchestral,,
Adam Selzer,,Toy Piano Trader,0:16,,instr,3,Steady,Acoustic Guitar,Mallets,Piano,Optimistic,Bright,Positive,Uplifting,Bright,Melodic,Business,Case Study,Childrens,Indie Pop,Cinematic,,
Adam Selzer,,True North,0:31,,instr,3,Steady,Acoustic Guitar,Piano,Strings,Bright,Intimate,Positive,Uplifting,Bright,Melodic,Business,Case Study,Case Study,Indie Pop,Cinematic,,
Adam Selzer,,Vintage News,0:31,,instr,3,Ascending,Chimes & Bells,Mallets,Woodwinds,Optimistic,Bright,Positive,Uplifting,Bright,Melodic,Business,Case Study,Adventure,Indie Pop,Cinematic,,
Adam Selzer,,Well,1:04,Featured,instr,3,Steady,Piano,Mallets,Hand Claps,Empowering,Emotional,Positive,Uplifting,Bright,Melodic,Business,Crowdfunding,Documentary,Indie Pop,Cinematic,Orchestral,
Adam Selzer,,Whistle And Action,0:57,Featured,instr,4,Ascending,Acoustic Guitar,Piano,Drums,Fun,Playful,Dynamic,Empowering,Uplifting,Confident,Crowdfunding,Business,Trailer,Cinematic,Cinematic,,
Aina Haina,,Foolin' Around (In The Sun),3:32,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
Aina Haina,,Foolin' Around Mix (Instrumental),3:34,,instr,4,Steady,Electric Guitar,Drums,Bass,Burdened,Youthful,Mischievous,Confident,Energetic,Gritty,Adventure,LookBook Video,Indie,Rock & Roll,Folk & Americana,,
Aina Haina,,Help Me Through,4:09,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
Aina Haina,,Help Me Through (Instrumental),4:15,,instr,3,Steady,Electric Guitar,Bass,Drums,Burdened,Youthful,Mischievous,Confident,Energetic,Gritty,Adventure,LookBook Video,Indie,Rock & Roll,,,
Aina Haina,,I Can't Feel You Anymore,4:51,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
